すげる	3	2597	5
すげ替える	7	247	6
すごすご	16	230	14
すす	215	1010	1
すたこら	2	75	8
すたすた	5	463	36
すだく	2	67	8
すっからかん	4	236	19
すっかり	1816	24143	1593
すっきり	462	231	928
すっくと	19	161	28
すってんころり	1	17	5
すっぱり	19	569	30
すっぽかす	20	249	21
すっぽり	163	2048	82
すっぽん	72	983	61
すててこ	3	59	19
すばしこい	9	85	11
すぱすぱ	9	124	14
すべすべ	48	309	37
すやすや	7	478	32
すら	12384	50892	18
すらすら	40	1848	44
すらり	92	663	50
する	3355805	1	20
するする	23	1049	63
すんなり	220	5039	188
ずい	756	359	11
ずいと	12	48	4
ずかずか	1	245	17
ずきずき	2	394	24
ずく	102	483	59
ずけずけ	10	185	6
ずし	983	1342	3
ずたずた	54	677	41
ずっこける	10	142	35
ずっしり	18	712	44
ずっと	6684	108744	4242
ずばり	70	5914	221
ずば抜ける	1	1027	42
ずぶ濡れ	84	589	69
ずべ	82	26	2
ずぼら	45	575	25
ずらかる	1	195	5
ずらす	380	5829	192
ずらり	5	1050	142
ずり上がる	2	59	1
ずり落ちる	14	389	15
ずる	738	5845	33
ずるける	1	3	1
ずるずる	68	2389	144
ずれ	3551	6520	218
ずれる	580	21801	389
ずれ込む	146	604	24
ずんぐり	291	322	23
ずんぐりむっくり	27	57	5
ずんずん	22	627	45
せいご	135	32	10
せかせか	4	167	22
せがむ	59	1026	69
せこい	16	608	80
せしめる	217	3497	43
せせこましい	3	95	8
せせらぎ	293	1581	48
せせら笑う	8	186	13
せっかち	82	735	75
せっせ	11	91	4
せっせと	44	2335	153
せびる	20	243	13
せめて	565	12349	642
ぜいご	15	13	2
そう	43530	467334	57489
そうこう	242	653	111
そぐう	7	224	49
そこそこ	909	952	446
そこら	121	2389	1
そして	133331	706683	18989
そそくさ	41	758	57
そそっかしい	18	130	16
そそり立つ	72	385	38
そそる	127	2675	106
そっくり	2612	1130	466
そっと	396	9704	691
そっぽ	51	1098	48
そつ	303	160	37
その	922227	3560026	364
そびれる	6	9	63
そぼろ	76	242	34
そぼ降る	3	42	2
そよそよ	4	107	8
そら	1651	1527	19
それ	297513	172	7
そろそろ	361	19533	1508
そわそわ	24	531	74
そんな	17594	10101	16726
ぞくぞく	59	209	63
ぞっこん	41	201	11
ぞっと	143	2142	141
ぞろぞろ	29	1029	71
ぞんざい	172	503	21
たくる	11	220	6
たくれる	1	26	1
たじたじ	6	212	26
たじろぐ	20	549	46
たた	568	882	21
たっぷり	841	5922	1406
たどたどしい	38	605	34
たまさか	16	80	5
たまゆら	117	187	4
ため	1117269	2050274	76
たゆたう	28	185	17
たらしい	8	929	35
たらたら	4	247	31
たらふく	28	420	45
たらり	14	57	3
たわい	38	557	37
たわいない	9	111	12
たわわ	63	400	33
たんと	108	382	38
たんま	8	38	1
たんまり	5	222	16
だくだく	13	49	4
だだっ広い	11	360	18
だぶだぶ	32	39	10
だぶつく	1	312	12
だらけ	1968	13943	724
だらける	2	902	19
だらし	219	2384	22
だらだら	101	5110	275
だらり	34	352	25
だれる	3	2852	23
だんまり	49	206	16
ちきり	37	132	1
ちぎる	72	2214	137
ちぎれる	36	729	54
ちくちく	12	908	62
ちぐはぐ	99	900	37
ちっぽけ	125	1379	66
ちび	1193	1919	695
ちびちび	21	523	35
ちびっこ	292	1020	60
ちびりちびり	4	99	7
ちびる	4	1572	18
ちまちま	23	397	49
ちゃきちゃき	18	47	4
ちゃち	15	350	15
ちゃっかり	51	829	64
ちゃらんぽらん	33	119	8
ちゃん	21326	110160	15810
ちゃんこ	531	665	33
ちゃんちゃん	19	87	8
ちゃんちゃんこ	40	223	13
ちゃんと	1582	67835	3269
ちゃんばら	31	504	15
ちやほや	32	630	45
ちょい	281	4617	364
ちょいちょい	16	380	42
ちょくちょく	50	1762	97
ちょこちょこ	12	1760	124
ちょこっと	103	2354	234
ちょこまか	10	134	9
ちょっかい	131	657	52
ちょっぴり	136	3332	276
ちょび髭	17	53	8
ちょぼ	29	88	22
ちょろい	3	352	11
ちょろちょろ	5	34	48
ちょろまかす	1	69	1
ちょろり	2	31	2
ちょん	200	485	55
ちょんぼ	1	354	3
ちら	646	395	319
ちらちら	19	1225	95
ちらつく	43	1744	77
ちらほら	31	2550	131
ちらり	6	1523	161
ちりちり	8	95	22
ちり鍋	17	42	4
ちん	2914	2687	232
ちんちくりん	4	39	2
ちんちん	72	38	101
ちんと	22	170	8
ちんどん屋	31	30	5
ちんぴら	14	817	49
ちんぷんかんぷん	11	785	46
ちんまり	12	80	9
っ子	2181	7018	296
つ	229404	195376	25635
つい	25813	24918	1169
ついつい	75	8437	368
ついと	6	63	9
つかつか	5	161	23
つく	10394	310238	20184
つけつけ	1	6	1
つっかい	5	49	4
つつ	45460	135865	1
つと	3351	2209	35
つぶつぶ	24	40	4
つぶり	28	4	1
つべこべ	8	129	5
つまされる	4	331	11
つま弾く	3	113	7
つやつや	23	535	61
つらつら	8	627	41
つるつる	86	2287	161
つれない	25	251	20
つんけん	1	44	1
つんつるてん	1	10	1
つんのめる	12	157	19
てか	60	1764	567
てかてか	3	32	26
てきぱき	28	1357	59
てくてく	66	698	42
てこ	519	1477	43
てっきり	62	1506	115
てらてら	1	2	6
てんかん	1404	6217	2
てんで	34	694	27
てんと	94	89	8
てんやわんや	45	35	23
で	11539640	54636	10118
でかい	119	6318	788
でかでか	7	174	24
でっぷり	17	88	23
でぶ	118	1482	230
でれでれ	2	18	17
でれ助	2	41	1
でんぐり返し	20	44	3
でんぐり返る	1	49	1
と	8550611	38504	1384
とある	3915	8786	328
ときめかす	5	72	1
ときめき	1151	1069	79
ときめく	67	1348	102
とぎれとぎれ	7	353	26
とこしえ	21	343	14
とことこ	19	446	34
とことん	424	37	170
とちる	3	520	4
とっくり	30	46	5
とっとと	39	1081	91
とっぷり	3	167	11
とど	181	484	11
とばっちり	40	319	23
とば口	3	40	5
とぼとぼ	10	482	28
とむね	5	12	1
ともあれ	307	5408	321
とやかく	39	1176	47
とろい	7	572	37
とろとろ	13	75	96
とろみ	234	1427	105
とろり	14	614	52
とろ火	27	163	11
とんずら	12	108	9
とんだ	171	588	67
とんちき	5	10	3
とんでも	723	14628	573
とんと	41	729	39
とんとん	38	1214	102
とんま	27	95	12
と金	136	303	6
ど	13820	541	273
どう	52583	675953	38238
どうこう	261	2895	87
どうせ	456	12316	693
どうぞ	381	91	1788
どかどか	1	175	8
どか雪	3	50	8
どきどき	183	1040	589
どぎつい	36	200	10
どぎまぎ	6	6	24
どく	891	2687	4
どくどく	4	129	23
どさくさ	116	623	33
どさ回り	1	42	6
どしどし	12	982	35
どじ	153	748	56
どす	212	984	49
どす黒い	20	427	19
どっかり	4	158	15
どっこい	78	418	28
どっこいしょ	24	89	8
どっこいどっこい	2	75	2
